ref_text,pred_text,gold_tox,bert_tox,detoxy_tox,wer,cer
Get this car out of here!,model get this car out of here!,0,1,1,0.3333333333333333,0.28
The volunteers were then treated with antibiotics to cure the infections.,model the volunteers were then treated with antibiotics to cure the infections.,0,0,0,0.18181818181818182,0.0958904109589041
Her jeans have holes in them.,model her jeans have holes in them.,0,0,0,0.3333333333333333,0.2413793103448276
a young girl wearing a pink leotard jump in midair,model a young girl wearing a pink leopard-print jumpsuit in mid-air.,0,0,0,0.4,0.38
Your behavior is embarrassing; go learn the art of social intercourse!,model your behavior is embarrassing. go learn the art of social intercourse.,1,0,0,0.36363636363636365,0.12857142857142856
So the king ordered his servants to kill him.,model so the king ordered his servants to kill him.,0,1,1,0.2222222222222222,0.15555555555555556
"Diesel is the cheapest one, because of lower taxes.",model diesel is the cheapest one because of the lower taxes.,0,0,0,0.4444444444444444,0.23529411764705882
"Xylose is otherwise pervasive, being found in the embryos of most edible plants.","model xylose is otherwise pervasive, being found in the embryos of most edible plants.",0,0,0,0.15384615384615385,0.0875
Why don't you shut up!,model why don't you shut up?,1,1,1,0.6,0.36363636363636365
"Today, a large Hindu population still exists among the Osings.",model <div>today a large hindu population still exists among the osings.</div>,0,0,0,0.4,0.3387096774193548
I thought you had dropped that rot.,model i thought you had dropped that rock.,0,0,0,0.42857142857142855,0.2571428571428571
"""I'm an alchemist simply because I'm an alchemist,"" he said, as he prepared the meal.","model ""i'm an alchemist, simply because i'm an alchemist,"" he said, as he prepared the meal.",0,0,0,0.26666666666666666,0.10588235294117647
"Those women are all card sharks, don't be fooled.","model those women are all card sharks, don't be fooled.",1,0,0,0.2222222222222222,0.14285714285714285
You could save that poor devil's life.,model <speaker1>: you could save that poor devil's life.,1,1,1,0.42857142857142855,0.5
"Assuming this connection is found, the first breakpoint is reached.","model assuming this connection is found, the first breakpoint is reached.",0,0,0,0.2,0.1044776119402985
It's wicked how Lara neglects her pussy cat.,model it's wicked how laura neglects her pussycat.,0,1,1,0.625,0.22727272727272727
"Our bitch had puppies, do you want one?","model ""are bitch-head puppies, do you want one?""",0,1,1,0.5,0.3076923076923077
The two sides of clave cycle in a type of repeating call and response.,model the two sides of the clave cycle in a type of repeating call and response.,0,0,0,0.21428571428571427,0.15714285714285714
Levein was again criticised for adopting negative tactics.,model levine was again criticized for adopting negative tactics.,0,0,0,0.375,0.15517241379310345
"The ""point of perspective"" for the orthographic projection is at infinite distance.",model the point of perspective for the orthographic projection is at infinite distance.,0,0,0,0.3333333333333333,0.10843373493975904
All tracks composed by McCain.,model all tracks composed by mackaye.,0,0,0,0.6,0.4
"Soon ripe, soon rot","model soon ripe, soon rot.",0,1,1,0.75,0.42105263157894735
I'm interested only in the present.,model i'm interested only in the present.,0,0,0,0.3333333333333333,0.2
